이벤트분류,이벤트발생연도,이벤트발생월,이벤트발생일,이벤트발생시간,지구코드,발생건수
EBSCP110,2020,10,13,02,077,1
FCLFT101,2020,10,13,15,077,16
FCLFT101,2020,10,13,16,077,4
FCLFT101,2020,10,13,17,077,3
FCLFT101,2020,10,13,18,077,2
FCLFT101,2020,10,13,19,077,4
FCLFT101,2020,10,13,20,077,17
FCLFT101,2020,10,13,21,077,1
FCLFT101,2020,10,13,23,077,2
LPRUM102,2020,10,13,08,077,2
LPRUM102,2020,10,13,10,077,2
LPRUM102,2020,10,13,11,077,3
LPRUM102,2020,10,13,13,077,1
LPRUM102,2020,10,13,14,077,3
LPRUM102,2020,10,13,15,077,1
LPRUM102,2020,10,13,16,077,1
NMSFT110,2020,10,13,06,077,1
NMSFT110,2020,10,13,08,077,1
NMSFT110,2020,10,13,13,077,1
NMSFT110,2020,10,13,14,077,2
NMSFT110,2020,10,13,15,077,1
FCLFT101,2020,10,13,14,077,2
FCLFT101,2020,10,13,13,077,22
FCLFT101,2020,10,13,12,077,1
EBSCP110,2020,10,13,03,077,2
EBSCP110,2020,10,13,07,077,1
EBSCP110,2020,10,13,08,077,2
EBSCP110,2020,10,13,09,077,20
EBSCP110,2020,10,13,11,077,9
EBSCP110,2020,10,13,12,077,1
EBSCP110,2020,10,13,13,077,2
EBSCP110,2020,10,13,14,077,1
EBSCP110,2020,10,13,20,077,1
FCLFT101,2020,10,13,00,077,34
FCLFT101,2020,10,13,02,077,1
FCLFT101,2020,10,13,03,077,2
FCLFT101,2020,10,13,04,077,4
FCLFT101,2020,10,13,05,077,2
FCLFT101,2020,10,13,06,077,1
FCLFT101,2020,10,13,07,077,6
FCLFT101,2020,10,13,08,077,3
FCLFT101,2020,10,13,09,077,1
FCLFT101,2020,10,13,10,077,9
FCLFT101,2020,10,13,11,077,2
NMSFT110,2020,10,13,17,077,1
EBSCP110,2020,10,10,04,077,2
FCLFT101,2020,10,10,17,077,74
FCLFT101,2020,10,10,18,077,78
FCLFT101,2020,10,10,19,077,68
FCLFT101,2020,10,10,20,077,73
FCLFT101,2020,10,10,21,077,65
FCLFT101,2020,10,10,22,077,59
FCLFT101,2020,10,10,23,077,74
LPRUM102,2020,10,10,09,077,1
LPRUM102,2020,10,10,12,077,1
LPRUM102,2020,10,10,14,077,1
LPRUM102,2020,10,10,16,077,1
LPRUM104,2020,10,10,11,077,1
NMSFT110,2020,10,10,06,077,2
NMSFT110,2020,10,10,07,077,8
NMSFT110,2020,10,10,08,077,1
NMSFT110,2020,10,10,09,077,1
NMSFT110,2020,10,10,13,077,1
NMSFT110,2020,10,10,14,077,1
NMSFT110,2020,10,10,17,077,1
FCLFT101,2020,10,10,16,077,69
FCLFT101,2020,10,10,15,077,74
FCLFT101,2020,10,10,14,077,89
EBSCP110,2020,10,10,08,077,3
EBSCP110,2020,10,10,11,077,2
EBSCP110,2020,10,10,16,077,1
EBSCP110,2020,10,10,17,077,2
EBSCP110,2020,10,10,23,077,2
FCLFT101,2020,10,10,00,077,72
FCLFT101,2020,10,10,01,077,105
FCLFT101,2020,10,10,02,077,69
FCLFT101,2020,10,10,03,077,70
FCLFT101,2020,10,10,04,077,71
FCLFT101,2020,10,10,05,077,68
FCLFT101,2020,10,10,06,077,83
FCLFT101,2020,10,10,07,077,82
FCLFT101,2020,10,10,08,077,68
FCLFT101,2020,10,10,09,077,64
FCLFT101,2020,10,10,10,077,59
FCLFT101,2020,10,10,11,077,65
FCLFT101,2020,10,10,12,077,58
FCLFT101,2020,10,10,13,077,78
NMSFT110,2020,10,10,18,077,1
EBSCP110,2020,10,12,07,077,1
FCLFT101,2020,10,12,16,077,7
FCLFT101,2020,10,12,17,077,3
FCLFT101,2020,10,12,18,077,7
FCLFT101,2020,10,12,19,077,4
FCLFT101,2020,10,12,20,077,3
FCLFT101,2020,10,12,21,077,3
FCLFT101,2020,10,12,22,077,1
FCLFT101,2020,10,12,23,077,7
LPRUM102,2020,10,12,08,077,1
LPRUM102,2020,10,12,09,077,1
LPRUM102,2020,10,12,10,077,1
LPRUM102,2020,10,12,11,077,1
LPRUM102,2020,10,12,12,077,1
LPRUM102,2020,10,12,14,077,1
LPRUM102,2020,10,12,15,077,1
LPRUM102,2020,10,12,18,077,1
LPRUM102,2020,10,12,21,077,1
NMSFT110,2020,10,12,08,077,1
NMSFT110,2020,10,12,09,077,2
FCLFT101,2020,10,12,15,077,12
FCLFT101,2020,10,12,14,077,4
FCLFT101,2020,10,12,13,077,3
EBSCP110,2020,10,12,13,077,1
EBSCP110,2020,10,12,15,077,2
EBSCP110,2020,10,12,17,077,1
EBSCP110,2020,10,12,18,077,2
EBSCP110,2020,10,12,19,077,1
EBSCP110,2020,10,12,21,077,1
FCLFT101,2020,10,12,00,077,4
FCLFT101,2020,10,12,01,077,47
FCLFT101,2020,10,12,02,077,4
FCLFT101,2020,10,12,03,077,5
FCLFT101,2020,10,12,04,077,6
FCLFT101,2020,10,12,05,077,6
FCLFT101,2020,10,12,06,077,25
FCLFT101,2020,10,12,07,077,5
FCLFT101,2020,10,12,08,077,6
FCLFT101,2020,10,12,09,077,13
FCLFT101,2020,10,12,10,077,43
FCLFT101,2020,10,12,11,077,11
FCLFT101,2020,10,12,12,077,4
NMSFT110,2020,10,12,10,077,2
EBSCP110,2020,10,11,02,077,1
FCLFT101,2020,10,11,14,077,67
FCLFT101,2020,10,11,15,077,52
FCLFT101,2020,10,11,16,077,42
FCLFT101,2020,10,11,17,077,39
FCLFT101,2020,10,11,18,077,25
FCLFT101,2020,10,11,19,077,37
FCLFT101,2020,10,11,20,077,20
FCLFT101,2020,10,11,21,077,7
FCLFT101,2020,10,11,22,077,7
FCLFT101,2020,10,11,23,077,7
LPRUM102,2020,10,11,12,077,1
LPRUM102,2020,10,11,13,077,3
LPRUM102,2020,10,11,15,077,1
NMSFT110,2020,10,11,06,077,3
NMSFT110,2020,10,11,07,077,2
NMSFT110,2020,10,11,11,077,2
NMSFT110,2020,10,11,12,077,1
NMSFT110,2020,10,11,13,077,4
FCLFT101,2020,10,11,13,077,73
FCLFT101,2020,10,11,12,077,87
EBSCP110,2020,10,11,05,077,1
EBSCP110,2020,10,11,11,077,1
EBSCP110,2020,10,11,12,077,1
EBSCP110,2020,10,11,17,077,2
EBSCP110,2020,10,11,18,077,1
